SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.00000256208511,0.019673232000000002,-0.108867798,-0.07127140400000001,94633,1627913379,784940766
30.00000256208511,0.019680036,-0.10887576900000001,-0.071296103,94634,1627913379,790888539
29.999998572196382,0.019676359,-0.108863449,-0.071319779,94635,1627913379,796893084
29.999998572196382,0.01967239,-0.10886556300000001,-0.071319666,94636,1627913379,802882001
29.999998572196382,0.019685466000000002,-0.108855161,-0.07130565700000001,94637,1627913379,808897271
30.00000011469349,0.019651153,-0.108859909,-0.07131514600000001,94638,1627913379,814902798
30.00000011469349,0.019639232,-0.10885615900000001,-0.071321206,94639,1627913379,820854858
30.00000011469349,0.019624184000000003,-0.10882968900000001,-0.07131744100000001,94640,1627913379,826875970
30.00000011469349,0.019609405,-0.108787411,-0.071310919,94641,1627913379,832894232
29.999999234857597,0.019605123000000002,-0.10879306200000001,-0.071315114,94642,1627913379,838976418
29.999999234857597,0.019600992,-0.108827539,-0.071308625,94643,1627913379,844965385
29.999999234857597,0.01960672,-0.10882736700000001,-0.071325529,94644,1627913379,850814819
30.000003157923366,0.019608999000000002,-0.10884087,-0.071329259,94645,1627913379,856999463
30.000003157923366,0.019592347,-0.108830283,-0.07132661600000001,94646,1627913379,862808275
30.000003157923366,0.019599025000000003,-0.10882204100000001,-0.07131639000000001,94647,1627913379,868899022
29.99999809329826,0.019590028000000002,-0.10882401200000001,-0.07131989200000001,94648,1627913379,874881900
29.99999809329826,0.019592718000000002,-0.10882023,-0.071309046,94649,1627913379,880889348
29.99999809329826,0.019570924,-0.10882420000000001,-0.071311503,94650,1627913379,886859919
29.99999809329826,0.019553276,-0.10880893000000001,-0.071300958,94651,1627913379,892876634
29.99999782600637,0.019541316,-0.108781783,-0.071300255,94652,1627913379,898920747
29.99999782600637,0.019524346,-0.10877038900000001,-0.071276949,94653,1627913379,904931773
29.99999782600637,0.019529318,-0.10877711400000001,-0.071263847,94654,1627913379,910795375
30.000003341686565,0.019526212,-0.10875271,-0.071251669,94655,1627913379,916826311
30.000003341686565,0.019516865,-0.108768812,-0.071240842,94656,1627913379,922930728
30.000003341686565,0.019520979,-0.108761065,-0.071236071,94657,1627913379,928852190
29.99999790396652,0.019513032,-0.10876534500000001,-0.071239362,94658,1627913379,934873949
29.99999790396652,0.019514748000000002,-0.10877070400000001,-0.071248772,94659,1627913379,940803066
29.99999790396652,0.019517754000000002,-0.108775746,-0.071241936,94660,1627913379,946821156
29.99999790396652,0.019516676,-0.10879427600000001,-0.071221745,94661,1627913379,952863241
30.00000204420704,0.019526402,-0.10879790700000001,-0.07121954800000001,94662,1627913379,958935717
30.00000204420704,0.019529708,-0.108790038,-0.071229678,94663,1627913379,964794572
30.00000204420704,0.019536438,-0.108771503,-0.071220954,94664,1627913379,970787342
29.99999792067225,0.019530362000000002,-0.10875680800000001,-0.071208696,94665,1627913379,976892486
29.99999792067225,0.019526757000000002,-0.108774198,-0.071213891,94666,1627913379,982943310
29.99999792067225,0.019527722,-0.108789591,-0.071209645,94667,1627913379,988953425
