OMEGA,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
332.90234375,0.22827162,-0.415458531,1.109243683,2814212,1628166444,829106108
332.9637145996094,0.22864341300000002,-0.415772858,1.1090147220000002,2814213,1628166444,835073267
332.9610290527344,0.22905260500000002,-0.416641786,1.108532104,2814214,1628166444,841108581
332.9964904785156,0.22886619500000002,-0.416899363,1.108454102,2814215,1628166444,847092690
333.0690002441406,0.22802591300000002,-0.41622730500000005,1.1089364510000002,2814216,1628166444,855153654
333.1104736328125,0.227916224,-0.41564036000000004,1.109247502,2814217,1628166444,861024232
333.1218566894531,0.2281188,-0.415792363,1.109125385,2814218,1628166444,867084664
333.1202392578125,0.22887868500000003,-0.41638630400000004,1.108591928,2814219,1628166444,872981817
333.2160339355469,0.22913095600000002,-0.41683694800000004,1.1088031790000001,2814220,1628166444,879062718
333.24737548828125,0.22866501900000002,-0.416757869,1.109221623,2814221,1628166444,885099889
333.2060546875,0.228025055,-0.41597239,1.1092870780000001,2814222,1628166444,891011813
333.24566650390625,0.22785585900000002,-0.41542356900000005,1.1091543480000001,2814223,1628166444,896989571
333.2977294921875,0.22816138100000002,-0.415201816,1.108972208,2814224,1628166444,903095250
333.3521728515625,0.22855187300000002,-0.41547515100000004,1.1088750840000001,2814225,1628166444,909046173
333.3926086425781,0.22889307800000003,-0.416296979,1.108769573,2814226,1628166444,915102592
333.3785400390625,0.228726525,-0.41650696800000003,1.108677044,2814227,1628166444,921111726
333.4132080078125,0.228391528,-0.416228714,1.1087657750000002,2814228,1628166444,926980819
333.423095703125,0.22808223900000002,-0.415802198,1.1090304850000001,2814229,1628166444,933091319
333.4833068847656,0.22814266000000002,-0.415769327,1.109150547,2814230,1628166444,939127170
333.53546142578125,0.22835706700000002,-0.41595437100000004,1.109039219,2814231,1628166444,945077168
333.52630615234375,0.228603048,-0.416107865,1.1088837900000001,2814232,1628166444,951038462
333.54364013671875,0.228711237,-0.416170142,1.108756493,2814233,1628166444,957021819
333.60223388671875,0.228623561,-0.41608371200000005,1.108807954,2814234,1628166444,963008144
333.61370849609375,0.228418754,-0.41587887700000004,1.109105256,2814235,1628166444,968991638
333.65899658203125,0.228258538,-0.415741124,1.109380043,2814236,1628166444,974984917
333.68536376953125,0.22825852300000002,-0.415891104,1.109173247,2814237,1628166444,981040195
333.7319030761719,0.22838487200000002,-0.41611213,1.108611861,2814238,1628166444,987114257
333.717041015625,0.228528634,-0.41614971300000003,1.108481238,2814239,1628166444,993106337
333.7613525390625,0.228507643,-0.41607159400000004,1.1089012900000002,2814240,1628166444,999098334
333.81475830078125,0.22839814900000002,-0.41597574600000004,1.109287018,2814241,1628166445,5104620
333.8461608886719,0.22826214,-0.41595383900000005,1.1090272060000002,2814242,1628166445,11003289
333.866943359375,0.22826300500000002,-0.41591491700000005,1.108478129,2814243,1628166445,17040924
333.87286376953125,0.22831983200000003,-0.41581978900000005,1.108502971,2814244,1628166445,23045021
333.93328857421875,0.228445692,-0.41574400300000003,1.109128281,2814245,1628166445,29042241
333.9642639160156,0.22859880500000002,-0.41594578800000004,1.109431126,2814246,1628166445,35086517
334.0224914550781,0.228751837,-0.41627542700000003,1.109085876,2814247,1628166445,40959547
333.99346923828125,0.22876601600000002,-0.41631134000000003,1.108636591,2814248,1628166445,47066689
334.02978515625,0.22843770500000002,-0.41600132300000003,1.108851696,2814249,1628166445,53079569
334.10369873046875,0.22813785800000003,-0.41571299100000003,1.109432556,2814250,1628166445,58960061
334.1364440917969,0.22800926500000002,-0.415467817,1.109366262,2814251,1628166445,65101797
334.13153076171875,0.228321299,-0.415703741,1.108671199,2814252,1628166445,71094759
334.16021728515625,0.228873388,-0.416138383,1.108195194,2814253,1628166445,77008732
334.1833801269531,0.22891018700000001,-0.41673224400000003,1.1089431170000001,2814254,1628166445,83102616
334.2351379394531,0.228559645,-0.41646385500000005,1.109433044,2814255,1628166445,89063076
334.28875732421875,0.227976271,-0.41583150100000005,1.109419972,2814256,1628166445,95058064
334.3137512207031,0.227871488,-0.41585648000000003,1.1091483100000001,2814257,1628166445,101028794
334.3461608886719,0.22821009900000003,-0.415672817,1.108718954,2814258,1628166445,107107274
334.3011474609375,0.22856034800000002,-0.41574443200000005,1.108859438,2814259,1628166445,113108989
334.3855285644531,0.228753225,-0.416139503,1.109274791,2814260,1628166445,119037010
334.4426574707031,0.228618916,-0.416075556,1.109136892,2814261,1628166445,125070545
334.44091796875,0.22851000700000001,-0.415889021,1.108714462,2814262,1628166445,131027548
334.47113037109375,0.22850952400000002,-0.41586281,1.108687722,2814263,1628166445,137102608
334.5162353515625,0.22837906100000002,-0.41588464700000005,1.1090763060000002,2814264,1628166445,143091365
334.5157775878906,0.228230698,-0.415921816,1.1092640980000001,2814265,1628166445,149003237
334.59295654296875,0.22816095300000003,-0.41611368400000004,1.1088649190000002,2814266,1628166445,157026818
334.58551025390625,0.22847176600000002,-0.41603175400000003,1.108399453,2814267,1628166445,163114912
334.6511535644531,0.22860729600000002,-0.41604650800000004,1.1085870820000001,2814268,1628166445,169077733
334.66571044921875,0.228488496,-0.415984295,1.109149468,2814269,1628166445,175066429
334.7242431640625,0.22832443200000002,-0.415914012,1.10934109,2814270,1628166445,181017848
334.7338562011719,0.22826358300000002,-0.415903208,1.108973684,2814271,1628166445,187096582
334.7640380859375,0.22840969300000002,-0.41592253900000004,1.108514468,2814272,1628166445,193041235
334.7845153808594,0.228512665,-0.41594593100000005,1.1086443000000001,2814273,1628166445,199036594
334.8434753417969,0.228504051,-0.41584813600000003,1.1091986200000001,2814274,1628166445,205046903
334.8548278808594,0.22849090900000002,-0.415895084,1.1093927160000001,2814275,1628166445,211014411
334.86529541015625,0.22852148500000002,-0.416124378,1.108922447,2814276,1628166445,217096789
334.88018798828125,0.22857960000000002,-0.41618948100000003,1.108326761,2814277,1628166445,223039266
334.92462158203125,0.228408509,-0.41603478800000004,1.108530057,2814278,1628166445,229021215
334.99371337890625,0.228077038,-0.415657545,1.10922963,2814279,1628166445,235043471
334.95819091796875,0.228033227,-0.41564710600000004,1.109400203,2814280,1628166445,240975432
335.03961181640625,0.228309322,-0.416013047,1.10894486,2814281,1628166445,247103174
335.0400085449219,0.228734598,-0.416342902,1.108485685,2814282,1628166445,253091123
335.0796203613281,0.228759483,-0.41639868,1.108811754,2814283,1628166445,259079377
335.1084899902344,0.22844710000000001,-0.416111161,1.1094978720000002,2814284,1628166445,265045063
335.1256103515625,0.228026577,-0.415654155,1.109495927,2814285,1628166445,271026583
335.1913146972656,0.228101622,-0.415647918,1.1090064430000002,2814286,1628166445,277093708
335.21453857421875,0.228294614,-0.41538041000000003,1.108500177,2814287,1628166445,283063573
335.21722412109375,0.22888529800000001,-0.416159771,1.108874398,2814288,1628166445,289067186
335.25433349609375,0.22875921500000002,-0.416514757,1.109395147,2814289,1628166445,295023308
335.2882385253906,0.228457934,-0.41631281000000003,1.1092538630000002,2814290,1628166445,300963521
335.343994140625,0.228232332,-0.41586099000000004,1.108755014,2814291,1628166445,307086150
335.3103942871094,0.228282317,-0.41569193600000004,1.108616064,2814292,1628166445,313065528
335.3694152832031,0.22834520800000002,-0.415844292,1.108977141,2814293,1628166445,319025972
335.4499816894531,0.228358208,-0.41601941000000003,1.109347292,2814294,1628166445,325089980
335.4646301269531,0.228410197,-0.41619212,1.1091448270000002,2814295,1628166445,331055824
335.4462890625,0.22852402800000002,-0.416273496,1.108556987,2814296,1628166445,337012186
335.487060546875,0.22854959300000002,-0.416177626,1.1084982620000001,2814297,1628166445,343115537
335.52783203125,0.228371392,-0.415846437,1.1090853280000001,2814298,1628166445,349063604
335.55438232421875,0.22816299,-0.41558309200000004,1.109530501,2814299,1628166445,355038607
335.59320068359375,0.22817014600000002,-0.41572107,1.1093025970000001,2814300,1628166445,361031054
335.6261291503906,0.22847846000000002,-0.416074306,1.108621109,2814301,1628166445,367118080
335.6388854980469,0.22875055900000002,-0.416283014,1.10851963,2814302,1628166445,373006534
335.66204833984375,0.228678645,-0.41627166800000004,1.1090289100000001,2814303,1628166445,379034241
335.7148742675781,0.22829021400000002,-0.41592636400000005,1.1093329680000001,2814304,1628166445,385090321
335.7887268066406,0.22802490800000003,-0.41561269100000003,1.109035052,2814305,1628166445,391036404
