CHI,OMEGA,X_LUT,Y_LUT,Z_LUT
20.0,45.0,-0.003098706000000001,-0.10027968211111112,0.04974640693939394
20.0,55.0,-0.0029788880000000003,-0.09027076572277229,0.0658745721089109
20.0,65.0,-0.0029217124141414142,-0.07804326597979797,0.08013699463636363
20.0,75.0,-0.002803871297029703,-0.06355701484158416,0.09204826767326732
20.0,85.0,-0.0024842977600000003,-0.04705227098999999,0.10100195108999997
20.0,95.0,-0.00241809931,-0.02920448962,0.10719056591000001
20.0,105.0,-0.00218280285,-0.010073932430000002,0.11000604099
20.0,115.0,-0.0019814079800000006,0.009435341690000001,0.10972614475
20.0,125.0,-0.00174947649,0.028540352480000003,0.10628262289000003
20.0,135.0,-0.0015039782121212127,0.046594539222222224,0.09955294701010103
20.0,145.0,-0.0012753248415841587,0.06349412792079208,0.0895199502079208
20.0,155.0,-0.001095267272727273,0.07855821682828283,0.07650342814141416
20.0,165.0,-0.00104274099,0.091507277,0.06118749318
20.0,175.0,-0.0009514295346534655,0.10175252556435645,0.04384186121782178
20.0,185.0,-0.0008758545656565658,0.108493872,0.02531067035353535
20.0,195.0,-0.0008767326700000002,0.11168304749,0.005828964769999999
20.0,205.0,-0.0009159172600000003,0.11138161909000001,-0.014130734680000001
20.0,215.0,-0.0009433613168316834,0.10765086666336632,-0.03388740852475247
20.0,225.0,-0.0010475728300000002,0.10074012357,-0.05253672562000001
20.0,235.0,-0.0010512381000000002,0.09057688739,-0.06929991064999999
20.0,245.0,-0.0011863792400000001,0.07742363596,-0.08370682211999998
20.0,255.0,-0.001273802888888889,0.061773998555555557,-0.09547965375757572
20.0,265.0,-0.0013644006831683173,0.0444073787029703,-0.10434289002970298
20.0,275.0,-0.0016922269595959598,0.025466373919191914,-0.11033275990909089
20.0,285.0,-0.0019389855445544558,0.005948491603960395,-0.11275011981188116
20.0,295.0,-0.00213568019,-0.013672054769999999,-0.11139610509999999
20.0,305.0,-0.00201486307,-0.032573018550000006,-0.10706049997000001
20.0,315.0,-0.00268763908,-0.0509185261,-0.09874360126000001
20.0,325.0,-0.0026878140800000007,-0.06708086396,-0.08784603148999999
20.0,335.0,-0.0029320285499999997,-0.08144462142,-0.07480562851
20.0,345.0,-0.00316365102,-0.09321835773999998,-0.05971081593
20.0,355.0,-0.003306786267857143,-0.10529990214285714,-0.03449303743452381
30.0,5.0,0.00909531809992598,-0.12156959589711326,-0.05855558797187268
30.0,15.0,0.00902122252,-0.13316352534,-0.025833473319999998
30.0,25.0,0.00905923806,-0.13625016352000002,-0.00278033714
30.0,35.0,0.00906007452,-0.13519277566,0.02043373039
30.0,45.0,0.009152302619999999,-0.12984167716,0.04301491853000001
30.0,55.0,0.00920118581,-0.12066260110000002,0.06449953342
30.0,65.0,0.00913146245,-0.10799586862,0.08423751985000003
30.0,75.0,0.009730952514851485,-0.09292457378217821,0.10150656418811883
30.0,85.0,0.009460854009999999,-0.07370995202,0.11538788165
30.0,95.0,0.00974566993,-0.05280158215,0.12565084143000002
30.0,105.0,0.00980167212,-0.030194579459999992,0.13240354352
30.0,115.0,0.010042128030303028,-0.006547311484848484,0.13523486685858588
30.0,125.0,0.01031475596,0.01712071182,0.13407888426
30.0,135.0,0.01057820575,0.04029354255999999,0.12872485840999998
30.0,145.0,0.010814586789999999,0.06242872459999999,0.11923343683999998
30.0,155.0,0.011061801569999998,0.08249553805,0.10586283758000002
30.0,165.0,0.011029617659999998,0.10060452393000001,0.08920759867000001
30.0,175.0,0.011133919209999999,0.11552951797000002,0.06984049565999999
30.0,185.0,0.011458966749999999,0.12689905786,0.04867093687000001
30.0,195.0,0.011842277369999998,0.13428709732000002,0.026133409289999996
30.0,205.0,0.011241267191919192,0.1364929774343434,0.0013484213232323229
30.0,215.0,0.011320623297029703,0.13504386136633667,-0.02276043713861386
30.0,225.0,0.011410245369999999,0.1295567792,-0.046285401569999995
30.0,235.0,0.011235215069999997,0.12041357567999998,-0.06813147828999998
30.0,245.0,0.01117353832,0.10716453187000001,-0.08763530903000001
30.0,255.0,0.011116893909999998,0.09047821528,-0.10441167186000001
30.0,265.0,0.010947943489999999,0.07125333378000001,-0.1181579946
30.0,275.0,0.010771686639999995,0.04989336955,-0.12838673294999997
30.0,285.0,0.010457571189999997,0.027003481430000004,-0.13480375891
30.0,295.0,0.010232708080000001,0.003597988960000001,-0.13682611097
30.0,305.0,0.010083154529999997,-0.019969004309999996,-0.13462888790999997
30.0,315.0,0.009985688529999998,-0.042932795950000005,-0.12860359794999998
30.0,325.0,0.009602328237623765,-0.06466243737623763,-0.11830728051485148
30.0,335.0,0.009720252363636363,-0.08401708398989899,-0.10465688244444443
30.0,345.0,0.00926600975,-0.10112144464,-0.08895492242
30.0,355.0,0.009079482128275862,-0.12044973537655175,-0.06076365572689656
40.0,5.0,0.02118452054939107,-0.11933357843301759,-0.08819150617050067
40.0,15.0,0.021855919069999997,-0.13884795303,-0.055919930539999996
40.0,25.0,0.02145711836,-0.14609510522999997,-0.03165584885
40.0,35.0,0.021263399979999997,-0.15008956182,-0.005969764619999999
40.0,45.0,0.021284451440000005,-0.14927802966,0.019727381430000003
40.0,55.0,0.021336293779999998,-0.14377875702,0.045081464800000005
40.0,65.0,0.021464344769999998,-0.13427290923000001,0.06935520237
40.0,75.0,0.021419105544554454,-0.12103848152475245,0.09119252012871287
